date,symbol,open,high,low,close,volume
2025-07-31,NHPC,221.0,222.5,217.6,218.24,143683.0
2025-07-30,NHPC,228.7,228.7,219.6,220.19,149714.0
2025-07-29,NHPC,229.5,229.5,223.5,224.24,158782.0
2025-07-28,NHPC,229.9,229.9,220.0,225.04,221685.0
2025-07-27,NHPC,237.0,237.0,224.0,225.49,345249.0
2025-07-24,NHPC,235.0,237.9,231.0,232.49,203954.0
2025-07-23,NHPC,225.0,237.0,225.0,233.71,487644.0
2025-07-22,NHPC,222.0,228.0,221.0,225.18,275782.0
2025-07-21,NHPC,221.5,224.0,217.5,220.12,128466.0
2025-07-20,NHPC,220.0,227.9,219.0,221.48,314388.0
2025-07-17,NHPC,212.7,222.0,212.7,219.88,186909.0
2025-07-16,NHPC,214.9,216.0,212.0,213.83,70748.0
2025-07-15,NHPC,213.9,215.9,211.7,212.89,75586.0
2025-07-14,NHPC,214.0,214.4,211.3,211.72,76214.0
2025-07-13,NHPC,216.5,223.0,213.0,213.52,102696.0
2025-07-10,NHPC,211.1,215.0,211.0,212.26,107994.0
2025-07-09,NHPC,210.5,213.5,210.1,212.19,60523.0
2025-07-08,NHPC,210.1,213.3,210.0,210.8,88586.0
2025-07-07,NHPC,212.0,215.0,210.7,211.65,55263.0
2025-07-06,NHPC,214.0,215.7,212.0,212.38,74579.0
2025-07-03,NHPC,218.0,219.3,213.2,213.8,101348.0
2025-07-02,NHPC,214.2,218.4,214.0,215.05,79142.0
2025-07-01,NHPC,213.0,216.3,210.1,215.28,77504.0
2025-06-30,NHPC,213.0,214.8,210.4,211.31,90894.0
2025-06-29,NHPC,215.0,215.0,211.2,212.48,39100.0
2025-06-26,NHPC,213.0,215.4,212.5,212.82,90357.0
2025-06-25,NHPC,218.0,218.0,211.3,212.11,96866.0
2025-06-24,NHPC,217.9,217.9,213.3,213.77,80852.0
2025-06-23,NHPC,215.0,216.8,212.0,213.73,105728.0
2025-06-22,NHPC,220.0,222.8,214.0,214.67,116602.0
2025-06-19,NHPC,223.0,225.0,219.1,220.38,319070.0
2025-06-18,NHPC,216.1,225.9,216.1,220.57,106448.0
2025-06-17,NHPC,223.0,224.0,217.0,218.15,73013.0
2025-06-16,NHPC,220.2,226.0,219.2,220.32,206400.0
2025-06-15,NHPC,223.6,226.0,217.6,219.96,160741.0
2025-06-12,NHPC,222.9,227.0,219.1,220.31,176643.0
2025-06-11,NHPC,225.0,225.0,218.1,220.25,151622.0
2025-06-10,NHPC,221.8,223.7,220.0,221.55,140539.0
2025-06-09,NHPC,215.0,222.4,215.0,219.49,136215.0
2025-06-08,NHPC,215.0,224.0,215.0,215.53,81692.0
2025-06-05,NHPC,214.0,217.0,211.1,215.45,74963.0
2025-06-04,NHPC,216.5,218.9,213.0,213.99,139511.0
2025-06-03,NHPC,215.4,219.6,215.4,216.14,88558.0
2025-06-02,NHPC,222.0,225.0,217.0,217.51,137192.0
2025-05-28,NHPC,218.7,220.8,216.2,217.72,77232.0
2025-05-27,NHPC,217.4,221.0,215.6,216.46,118647.0
2025-05-26,NHPC,223.0,229.9,217.0,217.98,101754.0
2025-05-25,NHPC,223.5,223.5,216.5,218.68,76568.0
2025-05-22,NHPC,221.1,224.7,217.6,219.4,112464.0
2025-05-21,NHPC,231.3,240.0,221.0,221.66,196640.0
2025-05-20,NHPC,217.0,228.0,214.4,226.83,172524.0
2025-05-19,NHPC,221.8,221.9,217.7,218.76,102672.0
2025-05-18,NHPC,220.0,224.4,217.0,217.6,119752.0
2025-05-15,NHPC,220.1,222.0,217.0,220.01,256528.0
2025-05-14,NHPC,222.4,227.0,220.0,220.76,182722.0
2025-05-13,NHPC,232.0,234.5,223.1,223.93,219709.0
2025-05-11,NHPC,239.0,243.0,230.3,231.49,233952.0
2025-05-08,NHPC,242.5,244.5,236.0,238.65,494512.0
2025-05-07,NHPC,227.1,240.0,227.1,237.78,801310.0
2025-05-06,NHPC,224.0,229.5,223.5,227.17,202164.0
2025-05-05,NHPC,232.9,233.4,221.5,222.59,140511.0
2025-05-04,NHPC,230.0,234.7,229.0,229.89,251289.0
2025-04-30,NHPC,229.9,232.2,224.1,226.07,275561.0
2025-04-29,NHPC,234.0,235.0,225.5,226.21,131055.0
2025-04-28,NHPC,225.0,241.0,225.0,231.12,557135.0
2025-04-27,NHPC,223.0,228.3,219.4,226.99,352772.0
2025-04-24,NHPC,216.5,221.0,214.0,219.09,191498.0
2025-04-23,NHPC,223.1,223.1,216.0,216.53,100815.0
2025-04-22,NHPC,224.8,226.9,220.2,223.27,246212.0
2025-04-21,NHPC,219.9,225.0,215.6,220.81,184273.0
2025-04-20,NHPC,225.0,225.0,214.5,217.55,134972.0
2025-04-17,NHPC,219.9,224.0,215.9,222.9,239906.0
2025-04-16,NHPC,210.0,216.7,210.0,215.85,149781.0
2025-04-15,NHPC,208.9,213.0,205.1,210.76,121647.0
2025-04-13,NHPC,207.0,210.0,205.1,206.86,48578.0
2025-04-10,NHPC,207.0,209.0,206.0,206.48,61508.0
2025-04-09,NHPC,208.6,210.6,205.7,207.09,50935.0
2025-04-08,NHPC,209.6,209.6,203.0,206.53,73339.0
2025-04-07,NHPC,211.9,211.9,205.1,205.55,101615.0
2025-04-03,NHPC,210.0,214.0,207.0,207.8,92539.0
2025-04-02,NHPC,207.1,212.0,207.1,209.36,34571.0
2025-04-01,NHPC,214.0,214.8,208.0,209.47,62235.0
